"original address",latitude,longitude
"5610 44th St Sacramento,CA",38.524344,-121.455751
"5200 Stockton Blvd Ste 135 Sacramento,CA",38.527633,-121.445316
"6035 Franklin Blvd Sacramento,CA",38.516515,-121.468739
"3250 Arena Blvd Sacramento,CA",38.642102,-121.533432
"1725 Bell St Sacramento,CA",38.59701,-121.411135
"3736 Marysville Blvd Sacramento,CA",38.636011,-121.429513
"861 Fulton Ave Sacramento,CA",38.581226,-121.401875
"1340 Fulton Ave Sacramento,CA",38.590214,-121.400596
"6021 Stockton Blvd Sacramento,CA",38.516885,-121.438014
"6105 Stockton Blvd Sacramento,CA",38.515571,-121.437481
"6701 Franklin Blvd Sacramento,CA",38.504872,-121.463376
"350 Florin Rd Sacramento,CA",38.508014,-121.541682
"3100 Arden Way Sacramento,CA",38.595601,-121.391857
"2338 Florin Rd Sacramento,CA",38.495693,-121.48432
"6545 Stockton Blvd Sacramento,CA",38.507443,-121.43374
"7924 Fruitridge Rd Sacramento,CA",38.524715,-121.41064
"5650 Power Inn Rd Sacramento,CA",38.524251,-121.409825
"3841 Snelling Ln Sacramento,CA",38.661572,-121.548771
"7025 Elder Creek Rd Sacramento,CA",38.510818,-121.422139
"1745 Watt Ave Sacramento,CA",38.597355,-121.383526
"6968 65th St Sacramento,CA",38.500567,-121.437889
"3040 Auburn Blvd Sacramento,CA",38.633112,-121.392546
"7601 Amherst St Sacramento,CA",38.481061,-121.500967
"6618 Florin Rd Ste B Sacramento,CA",38.495297,-121.425544
"4614 Martin Luther King Jr Blvd Sacramento,CA",38.53296,-121.464989
"4160 Stockton Blvd Sacramento,CA",38.537218,-121.448529
"3900 Fruitridge Rd Sacramento,CA",38.524439,-121.463236
"5830 Franklin Blvd Sacramento,CA",38.520659,-121.470772
"5960 Freeport Blvd Sacramento,CA",38.517395,-121.500082
"4940 Stockton Blvd Sacramento,CA",38.530702,-121.445873
"5610 44th St Sacramento,CA",38.524344,-121.455751
"5200 Stockton Blvd Ste 135 Sacramento,CA",38.527633,-121.445316
"6035 Franklin Blvd Sacramento,CA",38.516515,-121.468739
"3250 Arena Blvd Sacramento,CA",38.642102,-121.533432
"1725 Bell St Sacramento,CA",38.59701,-121.411135
"3736 Marysville Blvd Sacramento,CA",38.636011,-121.429513
"861 Fulton Ave Sacramento,CA",38.581226,-121.401875
"1340 Fulton Ave Sacramento,CA",38.590214,-121.400596
"6021 Stockton Blvd Sacramento,CA",38.516885,-121.438014
"6105 Stockton Blvd Sacramento,CA",38.515571,-121.437481
"6701 Franklin Blvd Sacramento,CA",38.504872,-121.463376
"350 Florin Rd Sacramento,CA",38.508014,-121.541682
"3100 Arden Way Sacramento,CA",38.595601,-121.391857
